symbol,direction,entry,exit,qty,pnl,reason,open_ts,close_ts,hold_minutes,tp1_hit,sl,tp1,tp2,score,regime,tier
ATOMUSDT,LONG,13.71,13.787,2.1882,0.1684914,trailing_stop,2024-03-12 01:15:00+00:00,2024-03-12 02:45:00+00:00,90.0,False,13.55,13.95,14.11,0.0,UNKNOWN,T2
TONUSDT,LONG,4.1939,4.2769,7.1532,0.5937156,trailing_stop,2024-03-13 01:00:00+00:00,2024-03-13 01:25:00+00:00,25.0,False,3.922418,4.601123,4.872605,0.0,UNKNOWN,T2
TONUSDT,LONG,4.2769,4.2962,7.0144,0.13537792,trailing_stop,2024-03-13 01:25:00+00:00,2024-03-13 01:40:00+00:00,15.0,False,3.987043,4.711686,5.001543,0.0,UNKNOWN,T2
ATOMUSDT,LONG,13.516,13.568,2.2196,0.1154192,trailing_stop,2024-03-13 01:00:00+00:00,2024-03-13 02:00:00+00:00,60.0,False,13.339036,13.781446,13.958411,0.0,UNKNOWN,T2
1000PEPEUSDT,LONG,0.0089846,0.0099486,3339.0468,2.60787903,TP2_hit,2024-03-14 01:45:00+00:00,2024-03-14 03:10:00+00:00,85.0,True,0.008611,0.009545,0.009918,0.0,UNKNOWN,T2
1000PEPEUSDT,LONG,0.0099486,0.0101811,3015.4997,0.70110368,trailing_stop,2024-03-14 03:10:00+00:00,2024-03-14 03:30:00+00:00,20.0,False,0.009453,0.010692,0.011188,0.0,UNKNOWN,T2
ATOMUSDT,LONG,13.961,13.695,2.1488,-0.5715808,SL_hit,2024-03-14 01:00:00+00:00,2024-03-14 04:20:00+00:00,200.0,False,13.704393,14.345911,14.602518,0.0,UNKNOWN,T2
1000PEPEUSDT,LONG,0.0102179,0.0096888,2936.024,-1.5534503,SL_hit,2024-03-15 01:00:00+00:00,2024-03-15 02:20:00+00:00,80.0,False,0.009767,0.010894,0.011344,0.0,UNKNOWN,T2
ATOMUSDT,LONG,13.71,13.502,2.1882,-0.4551456,SL_hit,2024-03-15 01:00:00+00:00,2024-03-15 02:20:00+00:00,80.0,False,13.512321,14.006518,14.204196,0.0,UNKNOWN,T2
TONUSDT,LONG,3.7802,3.8483,7.9361,0.54044841,trailing_stop,2024-03-15 13:00:00+00:00,2024-03-15 13:55:00+00:00,55.0,False,3.642396,3.986905,4.124709,0.0,UNKNOWN,T2
ATOMUSDT,LONG,12.71,12.739,2.3603,0.0684487,trailing_stop,2024-03-16 01:00:00+00:00,2024-03-16 01:30:00+00:00,30.0,False,12.473571,13.064643,13.301071,0.0,UNKNOWN,T2
1000PEPEUSDT,LONG,0.0089374,0.0089797,3356.6809,0.1419876,trailing_stop,2024-03-16 01:00:00+00:00,2024-03-16 01:35:00+00:00,35.0,False,0.008664,0.009348,0.009621,0.0,UNKNOWN,T2
