symbol,direction,entry,exit,qty,pnl,reason,open_ts,close_ts,hold_minutes,tp1_hit,sl,tp1,tp2,score,regime,tier
AAVEUSDT,LONG,128.05,126.21,0.2343,-0.431112,SL_hit,2024-03-29 01:00:00+00:00,2024-03-29 02:25:00+00:00,85.0,False,126.633929,130.174107,131.590179,0.0,UNKNOWN,T2
AAVEUSDT,LONG,127.69,128.8,0.2349,0.260739,trailing_stop,2024-03-29 03:00:00+00:00,2024-03-29 04:50:00+00:00,110.0,False,125.866786,130.424821,132.248036,0.0,UNKNOWN,T2
BCHUSDT,LONG,576.37,581.69,0.052,0.27664,trailing_stop,2024-03-29 04:30:00+00:00,2024-03-29 06:45:00+00:00,135.0,False,556.9075,605.56375,625.02625,0.0,UNKNOWN,T2
AAVEUSDT,LONG,127.55,127.77,0.2352,0.051744,trailing_stop,2024-03-30 01:00:00+00:00,2024-03-30 02:05:00+00:00,65.0,False,126.094643,129.733036,131.188393,0.0,UNKNOWN,T2
BCHUSDT,LONG,622.35,606.27,0.0482,-0.775056,SL_hit,2024-03-30 01:00:00+00:00,2024-03-30 03:45:00+00:00,165.0,False,607.616071,644.450893,659.184821,0.0,UNKNOWN,T2
ARBUSDT,LONG,1.6592,1.6701,18.081,0.1970829,trailing_stop,2024-03-30 01:00:00+00:00,2024-03-30 05:20:00+00:00,260.0,False,1.642611,1.684084,1.700673,0.0,UNKNOWN,T2
BCHUSDT,LONG,601.96,591.64,0.0498,-0.513936,SL_hit,2024-03-31 01:00:00+00:00,2024-03-31 04:15:00+00:00,195.0,False,591.861786,617.107321,627.205536,0.0,UNKNOWN,T2
ARBUSDT,LONG,1.6646,1.6725,18.0223,0.14237617,trailing_stop,2024-03-31 05:15:00+00:00,2024-03-31 05:50:00+00:00,35.0,False,1.646386,1.691921,1.710136,0.0,UNKNOWN,T2
AAVEUSDT,LONG,125.28,127.03,0.2395,0.4969625,trailing_stop,2024-03-31 02:00:00+00:00,2024-03-31 06:00:00+00:00,240.0,True,123.922857,127.315714,128.672857,0.0,UNKNOWN,T2
AAVEUSDT,LONG,128.07,128.7,0.2342,0.147546,trailing_stop,2024-04-01 01:00:00+00:00,2024-04-01 03:25:00+00:00,145.0,False,126.686071,130.145893,131.529821,0.0,UNKNOWN,T2
